term,pos,notes,is_case_sensitive,translation_ar,notes_ar,translation_ast,notes_ast,translation_bg,notes_bg,translation_br,notes_br,translation_ca,notes_ca,translation_cs,notes_cs,translation_da,notes_da,translation_de,notes_de,translation_el,notes_el,translation_en_ca,notes_en_ca,translation_en_gb,notes_en_gb,translation_en_us,notes_en_us,translation_eo,notes_eo,translation_es,notes_es,translation_et,notes_et,translation_eu,notes_eu,translation_fa,notes_fa,translation_fi,notes_fi,translation_fr,notes_fr,translation_fy,notes_fy,translation_ga,notes_ga,translation_gd,notes_gd,translation_gl,notes_gl,translation_he,notes_he,translation_hi,notes_hi,translation_hr,notes_hr,translation_hu,notes_hu,translation_ia,notes_ia,translation_id,notes_id,translation_ig,notes_ig,translation_it,notes_it,translation_ja,notes_ja,translation_jv,notes_jv,translation_ka,notes_ka,translation_ko,notes_ko,translation_krl,notes_krl,translation_la,notes_la,translation_lt,notes_lt,translation_mr,notes_mr,translation_ms,notes_ms,translation_nb,notes_nb,translation_nds,notes_nds,translation_nl,notes_nl,translation_nn,notes_nn,translation_oc,notes_oc,translation_pl,notes_pl,translation_pt,notes_pt,translation_pt_br,notes_pt_br,translation_ro,notes_ro,translation_ru,notes_ru,translation_rw,notes_rw,translation_si,notes_si,translation_sk,notes_sk,translation_sl,notes_sl,translation_sr,notes_sr,translation_sr_rs,notes_sr_rs,translation_sv,notes_sv,translation_tr,notes_tr,translation_uk,notes_uk,translation_vi,notes_vi,translation_zh_cn,notes_zh_cn,translation_zh_tw,notes_zh_tw
Saw,noun,"Ware - Tool - Atlanteans, Empire",false,,,,,Трион,,,,Serra,,pila,,Sav,,Säge,,Πριόνι,,,,,,,,,,Sierra,,,,,,,,,,Scie,,,,,,sàbh,shàbh | sàibh | shàibh | sàbhan | shàbhan | chunnaic,,,,,,,,,Fűrész,,,,,,,,Sega,,ノコギリ,,,,,,,,,,serra,,,,,,,,Sag,,Saag,,Zaag,,,,,,Piła,,serra,,Serra,,,,Пила,,,,,,píla,,,,,,,,Såg,,,,,,,,锯,,,
Sawmill,noun,"Production Building - Atlanteans, Empire",false,,,,,Дъскорезница,,,,Serradora,,pila,,Savværk,,"Sägemühle (A), Sägewerk (E)",,Πριονιστήριο,,,,,,,,,,Aserradero,,,,,,,,,,Scierie,,,,,,muileann sàbhaidh,mhuileann sàbhaidh | muilinn sàbhaidh | mhuilinn sàbhaidh | muileannan sàbhaidh | mhuileannan sàbhaidh,,,,,,,,,Fűrészmalom,,,,,,,,Segheria,,製材所,,,,,,제재소,,,,serrarum domus,,,,,,,,Sagbruk,,Saagmöhlen,,Houtzagerij,,,,,,Tartak,,serração,,Serraria,,,,Лесопилка,,,,,,píla,,,,,,,,Sågverk,,,,,,,,锯木厂,,,
Sawyer,noun,Worker - Atlanteans,false,,,,,Резач на дърва,,,,Serrador,,dělník na pile,,Savskærer,,Säger,,Πριονιστής,,,,,,,,,,Aserrador,,,,,,,,,,Scieur,,,,,,saor,fir. gin. ┐ iol. saoir,,,,,,,,,Fűrészelő,,,,,,,,Segatore,,製材職人,,,,,,,,,,,,,,,,,,Sager,,Saager,,Zager,,,,,,Tracz,,serrador,,Serrador,,,,Распиловщик,,,,,,piliar,,,,,,,,Sågverksarbetare,,,,,,,,锯木工,,,
Scenario,noun,,false,,,,,,,,,Escenari,,scénář,,,,Szenario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,küldetés,,,,,,,,Scenario,,,,,,,,시나리오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scenario,,,,,,,,场景,,,
Scout,noun,"Worker - Amazons, Atlanteans, Barbarians, Empire, Frisians",false,,,,,Разузнавач,,,,Explorador,,Průzkumník,"Průzkumnice | ""průzkumnice"" pro Amazonky",Spejder,,Kundschafter,,Ανιχνευτής,,,,,,,,,,Explorador,,,,,,,,Tiedustelija,,Éclaireur,,,,,,rabhadair,rabhadairean|,,,,,,,,,Felderítő,,,,,,,,Esploratore,,斥候,,,,,,정찰대,,,,explorator,,,,,,,,Speider,,Bespejer,,Verkenner,,,,,,Zwiadowca,,Batedor,,Explorador,,,,Разведчик,,,,,,prieskumník,,,,,,,,Spejare / Spanare,"Barbareans, Empire: Spanare
Atlanteans, Frisians: Spejare",,,,,,,侦察兵,,,
Scout’s House,noun,"Building - Atlanteans, Empire, Frisians",false,,,,,Разузнаваческа къща,,,,Casa de l’Explorador,,Domek průzkumníka,,Spejderhus,,Kundschafterhaus,,Σπίτι Ανιχνευτή,,,,,,,,,,Casa de Explorador,,,,,,,,Tiedustelijan talo,,Maison d'éclaireur,,,,,,taigh-rabhadair,taigh fir. gin. -e; iol. -ean,,,,,,,,,Felderítőház,,,,,,,,Casa dell'esploratore,,偵察小屋,,,,,,정찰대의 집,,,,casa exploratoris,,,,,,,,Speiders hus,,Bespejeree,,Verkennershuis,,,,,,Dom zwiadowcy,,casa do batedor,,Casa do Explorador,,,,Домик Разведчика,,,,,,prieskumnícky dom,,,,,,,,Spanarstuga / Spejarbostad,"Atlanteans: Spanarstuga
Empire: Spejarbostad",,,,,,,侦察兵之家,,,
Scout’s Hut,noun,"Building - Barbarians, Amazons",false,,,,,Разузнаваческа колиба,,,,Cabana de l’Explorador,,Chata průzkumníka,"Chata průzkumnice | ""chata průzkumnice"" v případě Amazonek",Spejderhytte,,Kundschafterhütte,,Καλύβα Ανιχνευτή,,,,,,,,,,Cabaña de Explorador,,,,,,,,Tiedustelijan maja,,Hutte d'éclaireur,,,,,,bothan-rabhadair,bothan fir. gin. ┐ iol. -ain,,,,,,,,,Felderítő kunyhója,,,,,,,,Capanna dell'esploratore,,斥候の庵,,,,,,정찰대의 오두막,,,,casa exploratoris,,,,,,,,Speiderhytte,,Bespejer-Huus,,Verkennershut,,,,,,Chata zwiadowcy,,cabana do batedor,,Cabana do Explorador,,,,Хижина Разведчика,,,,,,prieskumnícka chatrč,,,,,,,,Spejarkoja,Barbarians,,,,,,,侦察兵小屋,,,
Scrap Iron,noun,Ware - Recycling - Frisians,false,,,,,,,,,Ferralla,,železný šrot,,Jernskrot,,Alteisen,,Παλιοσίδερα,,,,,,,,,,,,,,,,,,,Romurauta,Ferraille,,,,,,fuigheall iarainn,,,,,,,,,,Ócskavas,,,,,,,,Rottami ferrosi,,鉄クズ,,,,,,,,,,,,,,,,,,,,Iesen-Överblievsels,,Schroot,,,,,,Złom żelaza,,,,,,,,Металлолом,,,,,,,,,,,,,,Järnskrot,,,,,,,,废铁,,,
Screenshot,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture d'écran,,,,,,,,,,,,,,,,Képernyőkép,,,,,,,,Screenshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skärmdump,,,,,,,,,,,
Script,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Script,,,,,,,,,,,,,,,,,,,,,,,,Script,,,,,,,,스크립트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skript,,,,,,,,,,,
Scythe,noun,"Ware - Tool - Atlanteans, Barbarians, Empire, Frisians",false,,,,,Коса,,,,Dalla,,kosa,,Le,,Sense,,Δρεπάνι,,,,,,,,,,Guadaña,,,,,,,,,,Faux,,,,,,fàl,fhàl | fàil | fhàil,,,,,,,,,Kasza,,,,,,,,Falce,,大鎌,,,,,,,,,,falx,,,,,,,,Ljå,,Sichte,,Zeis,,,,,,Kosa,,foice,,Foice,,,,Коса,,,,,,kosa,,,,,,,,Lie,,,,Коса,,,,镰刀,,,
Sea Buckthorn,noun,Immovable - Frisians,false,,,,,,,,,Espí groc,,rakytník,hippophae rhamnoides,Havtorn,,Seekreuzdorn,,Θαλάσσιος Ράμνος,,,,,,,,,,,,,,,,,,,Tyrni,Argousier,,,,,,preas ràmh-dhroighinn,,,,,,,,,,Homoktövis,,,,,,,,Olivello spinoso marittimo,,シーバックソーン,,,,,,,,,,,,,,,,,,,,Sanddoorn,Anyone who knows the translation please replace this,Duindoorn,,,,,,Rokitnik,,,,,,,,Облепиха,,,,,,,,,,,,,,Havtorn,,,,,,,,沙棘果,,,
Seamstress,noun,Worker - Frisians,false,,,,,,,,,Costurera,,švadlena,,Syerske,,Näherin,,Μοδίστρα,,,,,,,,,,Costurera,,,,,,,,Ompelija,,Couturier,,,,,,banalaiche,,,,,,,,,,Varrónő,,,,,,,,Sarta,,針子,,,,,,,,,,,,,,,,,,,,Naihsterske,,Naaister,,,,,,Szwaczka,,Costureira,,,,,,Портной,,,,,,,,,,,,,,sömmerska,,,,,,,,女裁缝,,,
Senate,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senato,,,,,,,,,,,,,,,,,,,,,,Senaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel,noun,Military Building - Frisians,false,,,,,,,,,Sentinella,femení,sentinel,,Vagthus,,Vorposten,,Φρουραρχείο,,,,,,,,,,centinela,Edificio militar - Frisios,,,,,,,Vahtimökki,,Sentinelle,,,,,,taigh-caithris,taighe-caithris | thaigh-caithris | taighean-caithris | thaighean-caithris,,,,,,,,,Őrház,,,,,,,,Posto di guardia,,監視所,,,,,,감시 초소,,,,,,,,,,,,,,Wachters-Postje,,Wachthut,,,,,,Wartownia,,,,,,,,Наблюдательный пост,,,,,,,,,,,,,,Vaktkur,,,,,,,,边哨,,,
Sentries,noun,Plural of Sentry,false,,,,,Караулни,,,,Guardes Sentinella,,strážnice,strážnic | strážnicím | strážnicích | strážnicemi |,Vagttårne,,Wachposten,,Φυλάκια,,,,,,,,,,Centinelas,,,,,,,,,,Guérites,,,,,,,,,,,,,,,,Őrházak,,,,,,,,Guardiole,,詰所,,,,,,초소들,,,,,,,,,,,,,,Wachters-Kamers,,,,,,,,,,sentinelas,,,,,,Караульные,,,,,,strážnice,,,,,,,,Vaktposter,,,,,,,,边哨,,,
Sentry,noun,"Military Building - Barbarians, Empire, Amazons",false,,,,,Караулна,,,,Guarda Sentinella,"i sentinella per al soldat
centinel frisians-> centinella",strážnice,strážnici | strážnicí |,Vagttårn,,Wachposten,,Φυλάκιο,,,,,,,,,,Centinela,,,,,,,,,,Guérite,,,,,,freiceadan,fhreiceadan | freiceadain | fhreiceadain | freiceadanan | fhreiceadanan,,,,,,,,,Őrház,,,,,,,,Guardiola,,詰所,(元: 歩哨所),,,,,초소,,,,,,,,,,,,Vaktpost,,Wachters-Kamer,,Wachtpost,,,,,,Strażnica,,sentinela,,Sentinela,,,,Караульная,,,,,,strážnica,,,,,,,,Vaktpost,,,,Сторожа,,,,岗哨,,,
Settlement,noun,Scenario term,false,,,,,Селище,,,,Assentament,,osada,osídlení |,,,Siedlung,,Οικισμός,,,,,,,,,,Asentamiento,,,,,,,,Siirtokunta,,Colonie,,,,,,tuineachadh,thuineachadh | tuineachaidh | thuineachaidh | tuineachaidhean | thuineachaidhean | tuinich,,,,,,,,,Település,,,,,,,,Insediamento,,,,,,,,,,,,,,,,,,,,,,Dörp,,Nederzetting,,,,,,Osada,,povoação,,assentamento,,,,Поселение,,,,,,osada,,,,,,,,Bosättning,,,,,,,,定居点,,,
Sewing Room,noun,Production Building - Frisians,false,,,,,,,,,Taller de costura,,šicí dílna,,Syrum,,Nähstübchen,,Ραφείο,,,,,,,,,,cuarto de costura,,,,,,,,,Ompeluhuone,Atelier de couture,,,,,,bùth banalachd,,,,,,,,,,Varroda,,,,,,,,Sala da cucito,,縫製工房,,,,,,,,,,,,,,,,,,,,Naiheree,,Naaiatelier,,,,,,Szwalnia,,costureira,,,,,,Швейный цех,,,,,,,,,,,,,,Syateljé,,,,,,,,裁缝铺,,,
Sharp Ax,noun,Ware - Weapon - Barbarians,false,,,,,Остра брадва,,,,Destral Afilada,,ostrá sekera,,Skarp økse,,Scharfe Axt,,Αιχμηρός Πέλεκυς,,,,,,,,,,Hacha Afilada,,,,,,,,,,Hache tranchante,,,,,,tuagh gheur,thuagh gheur | tuaighe geur | tuaghan geura | thuaghan geura,,,,,,,,,Éles fejsze,,,,,,,,Ascia affilata,,大斧,(元: シャープアックス),,,,,,,,,,,,,,,,,Skarp øks,,Scharpe Ext,,Scherpe Bijl,,,,,,Ostry topór,,machado afiado,,Machado afiado,,,,Острый Топор,,,,,,ostrá sekera,,,,,,,,Skarpyxa,,,,Гостра сокира,,,,锋利的斧头,,,
Sheep Farm,noun,Production Building - Empire,false,,,,,Ферма за овце,,,,Granja d’ovelles,,ovčinec,,Fåreavl,,Schäferei,,Στάνη Προβάτων,,,,,,,,,,Granja de Ovejas,,,,,,,,,Lammastila,Bergerie,,,,,,faing,fhaing | fainge | faingean | fhaingean,,,,,,,,,Juhtelep,,,,,,,,Allevamento di pecore,,羊牧場,,,,,,양 목장,,,,ovile,,,,,,,,Sauefarm,,Schaaptüchteree,,Schapenboerderij,,,,,,Owczarnia,,ovinocultura,,Fazenda de Ovelhas,,,,Овцеферма,,,,,,ovčia farma,,,,,,,,Fåruppfödning,,,,,,,,绵羊牧场,,,
Shepherd,noun,Worker - Empire,false,,,,,Овчар,,,,Pastor,,pastýř,,Fårehyrde,,Schäfer,,Βοσκός,,,,,,,,,,Pastor,,,,,,,,,,Berger,,,,,,cìobair,fir. iol. -ean,,,,,,,,,Juhász,,,,,,,,Pastore,Pecoraio,羊飼い,,,,,,,,,,pastor,,,,,,,,Gjeter,,Scheepker,,Schapenboer,,,,,,Pasterz,,ovinocultor,,Pastor,,,,Пастух,,,,,,pastier,,,,,,,,Fåraherde,,,,Пастух,,,,牧羊倌,,,
Ship,noun,Tribal unit,false,,,,,Кораб,,Lestr,,Vaixell,,loď,,Skib,,Schiff,,Πλοίο,,,,,,,,,,Barco,,,,,,,,,,Navire,,,,,,long,luinge | longan,,,,,,,Brod,,Hajó,,,,,,,,Nave,,船,,,,,,,,,,,,,,,,,,,,Schipp,,Schip,,,,,,Statek,,navio,,Navio,,,,Судно,,,,,,loď,,,,,,,,Skepp,,,,,,,,船,,,
Ship under Construction,noun,Site where a Shipyard is constructiong a Ship,false,,,,,,,,,Vaixell en Construcció,,rozestavěná loď,,Skib under konstruktion,,Schiffsbaustelle,,Πλοίο υπό Ναυπήγηση,,,,,,,,,,Barco en construcción,,,,,,,,,,Navire en construction,,,,,,Làrach togail luinge,,,,,,,,Brod u izgradnji,,Hajó építés alatt,,,,,,,,Nave in costruzione,,建造中の船,,,,,,,,,,,,,,,,,,,,Schipp-Baustee,,Droogdok,,,,,,Budowany statek,,construção de navio,,,,,,Строящееся судно,,,,,,loď vo výstavbe,,,,,,,,Skeppsbyggnad pågår,,,,,,,,建造中的船只,,,
Shipwright,noun,"Worker - Amazons, Atlanteans, Barbarians, Empire, Frisians",false,,,,,Корабостроител,,,,Mestre d’aixa,,Stavitel lodí,Stavitelka lodí u Amazonek,Skibsbygger,,Schiffbauer,(ohne s),Ναυπηγός,,,,,,,,,,Constructor Naval,,,,,,,,Veneseppä,,Ouvrier de chantier naval,,,,,,saor-luinge,fir. gin. ┐ iol. saoir,,,,,,,Brodograditelj,,Hajóács,,,,,,,,Maestro d'ascia,,船大工,,,,,,,,,,,,,,,,,,Skipsbygger,,Schippebauer,Anyone who comes up with a better translation please replace this,Scheepsbouwer,,,,,,Szkutnik,,construtor naval,,Construtor Naval,,,,Корабел,,,,,,lodiar,,,,,,,,Skeppsbyggare,,,,,,,,造船木工,,,
Shipyard,noun,"Production Building - Atlanteans, Barbarians, Empire, Frisians, Amazons",false,,,,,Корабостроителница,,,,Drassana,,loděnice,,Skibsværft,,Werft,,Ναυπηγείο,,,,,,,,,,Astillero,,,,,,,,Telakka,,Chantier naval,,,,,,doca,dhoca | docannan | dhocannan,,,,,,,Brodogradilište,,Hajóács műhely,,,,,,,,Cantiere navale,,造船所,,,,,,조선소,,,,,,,,,,,,Skipsverft,,Warft,?,Scheepswerf,,,,,,Stocznia,,estaleiro naval,,Estaleiro Naval,,,,Верфь,,,,,,lodenica,,,,,,,,Skeppsvarv,,,,,,,,造船厂,,,
Short Sword,noun,Ware - Weapon - Frisians,false,,,,,,,Kleze berr,,Espasa curta,,krátký meč,,Kort sværd,,Kurzschwert,,Βραχύ Ξίφος,,,,,,,,,,espada corta,,,,,,,,Lyhytmiekka,,Epée courte,,,,,,claidheamh-beag,claidheamhan-beaga|,,,,,,,,,Rövid kard,,,,,,,,Spada corta,,小剣,,,,,,,,,,,,,,,,,,,,Lüttes Sweert,,Kort Zwaard,,,,,,Krótki miecz,,gládio,,,,,,Короткий меч,,,,,,,,,,,,,,Kort svärd,,,,,,,,短剑,,,
Shovel,noun,"Ware - Tool - Atlanteans, Barbarians, Empire, Frisians",false,,,,,Лопата,,Pal,,Pala,,lopata,,Skovl,,Schaufel,,Φτυάρι,,,,,,,,,,Pala,,,,,,,,,,Pelle,,,,,,sluasaid,"boir. gin. -e, iol. -ean",,,,,,,,,Lapát,,,,,,,,Pala,,シャベル,,,,,,,,,,"rutila, pala",not sure which word is better,,,,,,,Spade,,Schüppe,,Schop,,,,,,Łopata,,pá,,Pá,,,,Лопата,,,,,,lopata,,,,,,,,Spade,,,,,,,,铁铲,,,
Show / Hide,,,false,,,,,,,,,,,Zobrazit / Skrýt,,,,,,,,,,,,,,,,,,,,,,,,,,Afficher / Cacher,,,,,,,,,,,,,,,,Megjelenítés / elrejtés,,,,,,,,Mostra / Nascondi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visa / Dölj,,,,,,,,显示/隐藏,,,
Show Building Spaces,noun,GUI. Formerly Build help,false,,,,,,,,,Mostra els Espais per Construir,,Zobrazit stavební místa,,Vis byggepladser,,Bauhilfe anzeigen,,Εμφάνιση Οικοδομήσιμων Εκτάσεων,,,,,,,,,,Mostrar Zonas de Construcción,,,,,,,,,,Montrer les espaces de constructions,,,,,,Seall ionadan togail,,,,,,,,,,Beépíthető helyek megjelenítése,,,,,,,,Mostra gli spazi edificabili,,建設スペースを表示,,,,,,,,,,,,,,,,,,,,Wies Rüümte tum Bauen,,Toon Bouwlocaties,,,,,,Pokazuj miejsca na budowę,,Mostrar lotes de construção,,,,,,Показать места строительства,,,,,,,,,,,,,,Visa byggnadsytor,,,,,,,,显示建筑空间,,,
Shrine of Neptune,noun,Mission object – Empire Scenario 3,false,,,,,,,,,Temple de Neptú,,Neptunova relikvie,,Neptuns helligdom,,Neptunschrein,ohne Binde-s,Βωμός Ποσειδώνα,,,,,,,,,,,,,,,,,,,,Autel de Neptune,,,,,,,,,,,,,,,,Neptunus szentélye,,,,,,,,Sacra Reliquia di Nettuno,,ネプチューンの祭壇,,,,,,,,,,,,,,,,,,,,Neptun-Altar,See comment for 'shrine',,,,,,,,,Relicário do Netuno,,,,,,Святыня Нептуна,,,,,,,,,,,,,,Neptunus helgedom,,,,,,,,尼普顿圣地,海神尼普顿,,
Sidolus,noun,Character - Atlantean,false,,,,,Сидолий,,,,Sidolus,,Sidolus,Sidola | Sidolu | Sidole | Sidolovi | Sidolem | Sidolův |,Sidolus,,Sidolus,,Σίδολος,,,,,,,,,,Sidolus,,,,,,,,,,Sidolus,,,,,,Sidolus,Shidoluis |,,,,,,,,,Sidolus,,,,,,,,Sidolus,,シドラス,,,,,,,,,,,,,,,,,,,,Sidoolus,,,,,,,,Sidolus,,Sidolus,,,,,,Сидолюс,Персонаж - Атланты,,,,,Sidolus,G: Sidola,,,,,,,Sidolus,,,,,,,,西多勒斯,角色名音译。,,
Sire,noun,,false,,,,,,,,,Senyor,,Pane,oslovení,,,Herr,Sire |,Άρχοντας,,,,,,,,,,,,,,,,,,Herra,,Sire,,,,,,,,,,,,,,,,Uram,,,,,,,,Sire,Mio Signore |,,,,,,,전하,,,,,,,,,,,,,,Mienheer,,,,,,,,,,Majestade,,,,,,Сир,,,,,,,,,,,,,,Herr,,,,,,,,陛下,,,
Small Armor Smithy,noun,Production Building - Frisians,false,,,,,,,,,Taller petit d’armadures,,malé zbrojířství,malém zbrojířství |,,,Kleine Rüstungsschmiede,,Μικρό Πανοπλοποιείο,,,,,,,,,,Taller de Armaduras Pequeña,,,,,,,,Pieni haarniskapaja,,petite forge d'armures,,,,,,ceàrdach armachd bheag,cheàrdach armachd bheag|,,,,,,,,,Kis páncélkovács műhely,,,,,,,,Fucina di armature piccola,,武具製作所,,,,,,작은 갑옷 제작소,,,,,,,,,,,,,,Lütte Wapensmee,,Kleine Harnassmederij,,,,,,Mała pracownia płatnerza,,,,,,,,Маленькая бронная,,,,,,,,,,,,,,Liten vapensmedja,,,,,,,,轻装盔甲铺,,,
Small Tower,noun,Military Building - Atlanteans,false,,,,,Малка кула,,Tour bihan,,Torrella,,malá věž,,Lille tårn,,Spähturm,,Μικρός Πύργος,,,,,,,,,,Torre Pequeña,,,,,,,,Pieni Torni,,Petite tour,,,,,,tùr beag,thùr beag | tùir bhig | thùir bhig | tùir bheaga | thùir bheaga,,,,,,,,,Kis torony,,,,,,,,Torre piccola,,小監視塔,,,,,,작은 탑,,,,turris parva,,Mažas bokštas,,,,,,Lite tårn,,Toorntje,,Kleine Toren,,,,,,Mała wieża,,torreão,,Torre de vigia,,,,Малая Башня,,,,,,malá veža,,,,,,,,Litet torn,,,,Мала вежа,,,,小型塔楼,,,
Small buildings,noun,,false,,,,,,,Savadurioù bihan,,Edificis petits,,malé budovy,,,,Kleine Gebäude,,Μικρά κτίρια,,,,,,,,,,,,,,,,,,,,Petits bâtiments,,,,,,togalaichean beaga,togalach beag|,,,,,,,,,kis épületek,,,,,,,,Edifici piccoli,,小サイズの建物,,,,,,,,,,,,Maži statiniai,,,,,,,,Lütte Huus,,Kleine gebouwen,,,,,,Małe budynki,,,,,,,,Малые здания,или строения,,,,,,,,,,,,,Små byggnader,,,,Малі будівлі,,,,小型建筑,,,
Smelter,noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",false,,,,,Топилар,,,,Fonedor,,slévač,,Smelteværksarbejder,,Schmelzer,,Χυτευτής,,,,,,,,,,Fundidor,,,,,,,,Sulattaja,,Fondeur,,,,,,leaghadair,fir. iol. -ean,,,,,,,,,Kohász,,,,,,,,Fonditore,,製錬職人,,,,,,쇠부리꾼,"풀무꾼:풀무질하는 사람
불매꾼:풀무꾼의 경상도 사투리
쇠부리꾼은 없다.
성냥간:대장간의 방언",,,aerarius,,,,,,,,Smelter,,Smelter,,Smelter,,,,,,Hutnik,,fundidor,,Fundidor,,,,Литейщик,,,,,,tavič,,,,,,,,Metallsmältare,,,,,,,,熔炼工,,,
Smelting Works,noun,"Production Building - Atlanteans, Barbarians, Empire",false,,,,,Топилна,,,,Forn de Metalls,,slévárna,,Smelteværker,,Hochofen,Hochöfen |,Χυτήριο,,,,,,,,,,Forja,,,,,,,,Sulattamo,,Fonderie,,,,,,ceàrdach leaghadair,cheàrdach leaghadair|ceàrdaich leaghadair|ceàrdaichean leaghadair |cheàrdaichean leaghadair,,,,,,,,,Kohó,,,,,,,,Fonderia,,製錬所,,,,,,제련소,,,,officina aeraria,,,,,,,,Smelteverk,,Smeltwark,,Hoogoven,,,,,,Huta,,fundição,,Fundição,,,,Литейная,,,,,,taviareň,,,,,,,,Smältverk,,,,,,,,冶炼厂,,,
Smoked Fish,noun,"Ware - Atlanteans, Frisians",false,,,,,Пушена риба,,,,Peix fumat,,uzené ryby,"changed to plural, better suits to the picture in the game",Røget fisk,,Räucherfisch,,Καπνιστό Ψάρι,,,,,,,,,,Pescado Ahumado,,,,,,,,Savukala,,Poisson fumé,,,,,,iasg-rèiste,fir. gin. ┐ iol. èisg,,,,,,,,,Füstölt hal,,,,,,,,Pesce affumicato,,燻製魚,,,,,,훈제 생선,,,,piscis fumo siccata,,,,,,,,Røkt fisk,,Rökelfiss,,Gerookte Vis,,,,,,Wędzona ryba,,peixe fumado,,Peixe defumado,,,,Копчёная рыба,,,,,,údená ryba,,,,,,,,Rökt fisk,,,,,,,,熏鱼,,燻魚,
Smoked Meat,noun,"Ware - Atlanteans, Frisians",false,,,,,Пушено месо,,,,Carn fumada,,uzené maso,,Røget kød,,Räucherfleisch,,Καπνιστό Κρέας,,,,,,,,,,Carne Ahumada,,,,,,,,Savuliha,,Viande fumée,,,,,,feòil-rèiste,fheòil-rèiste|feòla-rèiste,,,,,,,,,Füstölt hús,,,,,,,,Carne affumicata,,燻製肉,,,,,,훈제 고기,,,,caro fumo siccatus,,,,,,,,Røkt kjøtt,,Rökelfleesk,,Gerookt Vlees,,,,,,Wędzone mięso,,carne fumada,,Carne defumada,,,,Копчёное Мясо,,,,,,údené mäso,,,,,,,,Rökt kött,,,,,,,,烟熏肉,,燻肉,
Smoker,noun,"Worker - Atlanteans, Frisians",false,,,,,Опушвач,,,,Fumador,,uzenář,,Røgeriarbejder,,Räucherer,,Καπνιστής,,,,,,,,,,Ahumador,,,,,,,,Savustaja,,Fumeur,,,,,,toitear,gn. ag. -eadh,,,,,,,,,Füstölő,,,,,,,,Affumicatore,,燻製職人,,,,,,,,,,,,,,,,,,Røyker,,Rökeler,,Roker,,,,,,Wędzarz,,defumador,,Fumeiro,,,,Коптильщик,,,,,,údenár,,,,,,,,Rökare,,,,,,,,熏肉工,,,
Smokery,noun,"Production Building - Atlanteans, Frisians",false,,,,,Пушилна,,,,Fumador,,udírna,,Røgeri,,Räucherei,,Καπνιστήριο,,,,,,,,,,Ahumadero,,,,,,,,Savustamo,,Fumoir,,,,,,taigh-toitidh,thaigh-toitidh | taighe-thoitidh | thaighe-thoitidh | taighean-toitidh | thaighean-toitidh,,,,,,,,,Füstölő,,,,,,,,Affumicatoio,,燻製工房,,,,,,,,,,fumarium,,,,,,,,Røkeri,,Rökelkamer,,Rokerij,,,,,,Wędzarnia,,fumeiro,,,,,,Коптильня,,,,,,udiareň,,,,,,,,Rökeri,,,,,,,,熏肉铺,,,
Snack,noun,Ware - Barbarians,false,,,,,Закуска,,,,Aperitiu,(revisar traducció),svačina,,Mellemmåltid,,Snack,,Κολατσιό,,,,,,,,,,Bocadillo,Mercancía - Bárbaros,,,,,,,,,Casse-croûte,,,,,,lòn,lòin|,,,,,,,,,Uzsonna,,,,,,,,Spuntino,,軽食,,,,,,,,,,gustatio,,,,,,,,Matbit,,Spies,,Snack,"stdh: closer to English, clearer expression of progression Ration < Snack < Meal",,,,,Przekąska,,lanche,,Lanche,,,,Закуска,,,,,,desiata,,,,,,,,Matportion,,,,Закуска,,,,点心,,,
Snacks,noun,,false,,,,,,,,,Aperitius,,svačiny,,,,Snacks,,Κολατσιά,,,,,,,,,,Bocadillos,,,,,,,,Välipalat,,Casse-croûtes,,,,,,,,,,,,,,,,Uzsonnák,,,,,,,,Spuntini,,,,,,,,,,,,,,,,,,,,,,Spiesen,,Snacks,,,,,,Przekąski,,lanches,,,,,,Закуски,,,,,,,,,,,,,,Matportioner,,,,,,,,点心,,,
