term,pos,comment,translation_ar,comment_ar,translation_ast,comment_ast,translation_bg,comment_bg,translation_br,comment_br,translation_ca,comment_ca,translation_cs,comment_cs,translation_da,comment_da,translation_de,comment_de,translation_el,comment_el,translation_en_CA,comment_en_CA,translation_en_GB,comment_en_GB,translation_en_US,comment_en_US,translation_eo,comment_eo,translation_es,comment_es,translation_et,comment_et,translation_eu,comment_eu,translation_fa,comment_fa,translation_fi,comment_fi,translation_fr,comment_fr,translation_fy,comment_fy,translation_ga,comment_ga,translation_gd,comment_gd,translation_gl,comment_gl,translation_he,comment_he,translation_hi,comment_hi,translation_hr,comment_hr,translation_hu,comment_hu,translation_ia,comment_ia,translation_id,comment_id,translation_ig,comment_ig,translation_it,comment_it,translation_ja,comment_ja,translation_jv,comment_jv,translation_ka,comment_ka,translation_ko,comment_ko,translation_krl,comment_krl,translation_la,comment_la,translation_lt,comment_lt,translation_mr,comment_mr,translation_ms,comment_ms,translation_my,comment_my,translation_nb,comment_nb,translation_nds,comment_nds,translation_nl,comment_nl,translation_nn,comment_nn,translation_oc,comment_oc,translation_pl,comment_pl,translation_pt,comment_pt,translation_pt_BR,comment_pt_BR,translation_ro,comment_ro,translation_ru,comment_ru,translation_rw,comment_rw,translation_si,comment_si,translation_sk,comment_sk,translation_sl,comment_sl,translation_sr,comment_sr,translation_sv,comment_sv,translation_tr,comment_tr,translation_uk,comment_uk,translation_vi,comment_vi,translation_zh_CN,comment_zh_CN,translation_zh_TW,comment_zh_TW
Pitta Bread,Noun,Ware - Barbarians,,,,,Питка,,,,Pita,,chlebové placky,,Pittabrød,,Fladenbrot,,Πίτα,,,,,,,,,,Pan de Pita,,,,,,,,,,Pain pita,,,,,,aran tur,aran fir. gin. -ain,,,,,,,,,Pita,,,,,,,,pane pitta,,ピタパン,,,,,,,,,,pita,,,,,,,,,,,,Pitta-Brood,,Pitabrood,,,,,,Chleb pita,,pão pita,,Pão sírio,,,,Лепёшка,,,,,,pita,skloňuj podľa vzoru žena,,,,,Pitabröd,,,,,,,,,,,
Planks,Noun,"Ware - Atlanteans, Empire. Replaces Empire Wood.",,,,,Дъски,,,,Taulons,,prkna,,Brædder,,Bretter,,Σανίδες,,,,,,,,,,Tablas,,,,,,,,,,Planches,,,,,,maide,fir. iol. -ean,,,,,,,,,Deszkák,,,,,,,,Tavole,,板材,,,,,,,,,,ligna tabularia,"sg. lignum tabularium, or perhaps rather: tignum ?",,,,,,,,,Planker,,Planken,,Planken,,,,,,Deski,,tábuas,,Pranchas,,,,Доски,,,,,,dosky,,,,,,Plankor,,,,Дошки,,,,,,原木,
Pole,Noun,Game entity - maturity of trees,,,,,Младо дърво,,,,Jove,,Stromek,,,,jung,,Πόλος,,,,,,,,,,,,,,,,,,,,Bâton,,,,,,,,,,,,,,,,Vessző,,,,,,,,Palo,,,,,,,,,,,,,,,,,,,,,,,,Jung,,,,,,,,,,jovem,,,,,,Средневозрастное,,,,,,,,,,,,Ung,,,,,,,,,,,
Pond with Fish,Noun,Immovable - Frisians,,,,,,,,,Estany amb peixos,,,,,,Teich mit Fisch,,Λιμνούλα με Ψάρια,,,,,,,,,,,,,,,,,,,,,,,,,,poll-èisg,,,,,,,,,,,,,,,,,,,,養殖池(魚),,,,,,,,,,,,,,,,,,,,,,Pool mit Fisken,,,,,,,,,,,,,,,,Зарыбленный пруд,,,,,,,,,,,,,,,,,,,,,,,
Pond with Fish Spawn,Noun,Immovable - Frisians,,,,,,,,,Estany amb ous de peixos,,,,,,Teich mit Fischlaich,,Λιμνούλα με Γόνο,,,,,,,,,,,,,,,,,,,,,,,,,,poll le iuchair-èisg,,,,,,,,,,,,,,,,,,,,養殖池(卵),,,,,,,,,,,,,,,,,,,,,,Pool mit lüttjen Fisken,,,,,,,,,,,,,,,,Пруд нерестящейся рыбы,,,,,,,,,,,,,,,,,,,,,,,
Port,Noun,"Warehouse Building - Atlanteans, Barbarians, Empire, Frisians",,,,,Пристанище,,,,Port,,přístav,,Havn,,Hafen,,Λιμάνι,,,,,,,,,,Puerto,,,,,,,,,,Port,,,,,,port,puirt|,,,,,,,,,Kikötő,,,,,,,,Porto,,港,,,,,,,,,,,,,,,,,,,,Havn,,Muu,,Haven,,,,,,Port,,porto,,,,,,Порт,,,,,,prístav,,,,,,Hamn,,,,,,,,,,,
Productivity,Noun,GUI,,,,,Производителност,,,,Productivitat,,,,Produktivitet,,Produktivität,,Παραγωγικότητα,,,,,,,,,,Productividad,,,,,,,,,,Productivité,,,,,,cinneasachadh,chinneasachadh | cinneasachaidh | chinneasachaidh,,,,,,,,,Termelékenység,,,,,,,,Produttività,,生産率,,,,,,,,,,,,,,,,,,,,,,Wöörde,,Productiviteit,,,,,,produktywność,,produtividade,,Produtividade,,,,Производительность,,,,,,Produktivita,,,,,,Produktivitet,,,,,,,,,,,
Quarry,Noun,"Production Building - Atlanteans, Barbarians, Empire, Frisians",,,,,Кариера,,,,Pedrera,,lom,,Stenbrud,,Steinbruch,,Λατομείο,,,,,,,,,,Cantera,,,,,,,,,,Carrière,,,,,,cuaraidh,chuaraidh | cuaraidhean | chuaraidhean,,,,,,,,,Kőfejtő,,,,,,,,Cava,,採石場,,,,,,,,,,"lapidicina, arum",,,,,,,,,,Steinbrudd,,Flintslagerhuus,,Steengroeve,,,,,,Kamieniołom,,pedreira,,Pedreira,,,,Каменоломня,"Карьер - место для добычи породы открытым способом.
Каменоломня - шахта для добычи породы.
Нужно в будущем учесть отличие терминов ""Quarry"" и ""Rock Mine"" в связи со введением Фризов.",,,,,kameňolom,,,,,,Stenbrott,,,,,,,,,,,
Quartz,Noun,Ware - Atlanteans,,,,,Кварц,,,,Quars,,křemen,,Kvarts,,Bergkristall,,Χαλαζίας,,,,,,,,,,Cuarzo,,,,,,,,,,Quartz,,,,,,èiteag,"boir. gin. -eige, iol. -an",,,,,,,,,Kvarc,,,,,,,,Quarzo,,水晶,,,,,,,,,,,,,,,,,,,,Kvarts,,Blinkerflint,,Kwarts,,,,,,Kwarc,,quartzo,,Quartzo,,,,Кварц,,,,,,kremeň,,,,,,Kvarts,,,,,,,,,,,
Ranger,Noun,Worker - Barbarians,,,,,Лесничей,,,,Guarda Forestal,,Lesník,,Skovridder,,Förster,,Δασοφύλακας,,,,,,,,,,Agente Forestal,Trabajador - Bárbaros,,,,,,,,,Sylviculteur,,,,,,maor-coille,mhaor-coille | maoir-choille | mhaoir-choille,,,,,,,,,Erdőőr,,,,,,,,Guardia forestale,,植樹番,,,,,,,,,,saltuarius,,,,,,,,,,Skogvokter,,Boomplanter,,Boswachter,,,,,,Leśnik,,guarda-florestal,,Guarda-florestal,,,,Лесничий,,,,,,lesník,,,,,,Skogvaktare,,,,,,,,,,,
Ranger’s Hut,Noun,Production Building - Barbarians,,,,,Лесничейска хижа,,,,Cabana del forestal,,Chata lesníka,Same as hunter's hut!,Skovridderhytte,,Försterhütte,,Καλύβα Δασοφύλακα,,,,,,,,,,Cabaña Forestal,Edificio de producción - Bárbaros,,,,,,,,,Cabane de garde sylviculteur,"The worker is called ""Sylviculteur""?
Yes :)",,,,,bothan maoir-choille,bhothan maoir-choille | bothain maoir-choille,,,,,,,,,Erdőőr kunyhója,,,,,,,,Capanna della guardia forestale,,植樹番の庵,(元: 植樹番小屋),,,,,,,,,casa saltuarii,,,,,,,,,,Skogvokterhytte,,Boomplanteree,,Boswachtershut,,,,,,Leśniczówka,,cabana do guarda-florestal,,Casa do Guarda-florestal,,,,Хижина лесничего,,,,,,lesnícka chatrč,,,,,,Skogvaktarkoja,,,,,,,,,,,
Raspberry Bush,Noun,Immovable - Frisians,,,,,,,,,Gerdera,,,,,,Himbeerbusch,,Οξεία Βατομουριά,,,,,,,,,,,,,,,,,,,,,,,,,,preas-shuibheag,,,,,,,,,,,,,,,,,,,,ラズベリー畑,,,,,,,,,,,,,,,,,,,,,,Henntjebeei,Pl.: Henntjebejen,,,,,,,,,,,,,,,Малина,Малиновый куст,,,,,,,,,,,,,,,,,,,,,,
Ration,Noun,"Ware - Barbarians, Empire, Frisians",,,,,Дажба,,,,Ració,,příděl,,Ration,,Ration,,Μερίδα,,,,,,,,,,Ración,,,,,,,,,,Ration,,,,,,greimeag,ghreimeag | greimeige | ghreimeige | greimeagan | ghreimeagan,,,,,,,,,Harapnivaló,,,,,,,,Razione,,レーション,(元: 糧食),,,,,,,,,cibus,,,,,,,,,,Rasjon,,Happ,,Rantsoen,"stdh: closer to English, clearer expression of progression Ration < Snack < Meal",,,,,Racja,,ração,,Ração,,,,Паёк,,,,,,prídel,,,,,,Matbit,,,,,,,,,,,
Rations,Noun,plural,,,,,,,,,Racions,,příděly,,Rationer,,Rationen,,Μερίδες,,,,,,,,,,Raciones,,,,,,,,,,Rations,,,,,,,,,,,,,,,,Harapnivalók,,,,,,,,,,レーション,(元: 糧食),,,,,,,,,,,,,,,,,,,,,Happen,,,,,,,,,,rações,,,,,,Пайки,,,,,,,,,,,,Matbitar,,,,,,,,,,,
Raw Stone,Noun,OBSOLETE. Use Granite. Ware - Barbarians,,,,,Необработен камък,,,,Roca en Brut,,kamenivo,,Rå sten,,Felsbrocken,,Ακατέργαστη Πέτρα,,,,,,,,,,Piedra en bruto,,,,,,,,,,Pierre brute,,,,,,,"boir. gin. cloiche, iol. -an",,,,,,,,,Kő,,,,,,,,Pietra grezza,,原石,,,,,,,,,,saxa viva,sg. saxum vivum,,,,,,,,,Grov stein,,Gesteen,,Ruwe steen,,,,,,Kamień,,pedra bruta,,Pedra Bruta,,,,Булыжник,,,,,,surový kameň,,,,,,Obearbetad sten,,,,,,,,,,原石,
Recruit,Noun,Worker - all tribes. Recuits are trained into soldiers.,,,,,,,,,"Reclutes (com a verb, reclutar)",,,,Rekrut,,Rekrut,,Νεοσύλλεκτος,,,,,,,,,,Reclutar,,,,,,,,,,Recrue,,,,,,glas-laoch,ghlas-laoch|glas-laoich|ghlas-laoich|,,,,,,,,,,,,,,,,,,,新兵,,,,,,,,,,,,,,,,,,,,,,Lehrwicht,,,,,,,,,,,,,,,,Рекрут,,,,,,,,,,,,Rekryt,,,,Новобранець,,,,,,,
Recycling Center,Noun,Production Building - Frisians,,,,,,,,,Centre de reciclatge,,,,,,Aufbereitungszentrum,,Κέντρο Ανακύκλωσης,,,,,,,,,,,,,,,,,,,Kierrätyskeskus,,,,,,,ionad ath-chuairteachaidh,,,,,,,,,,,,,,,,,,,,リサイクルセンター,,,,,,,,,,,,,,,,,,,,,,Verweerteree,,,,,,,,,,,,,,,,Центр переработки,,,,,,,,,,,,,,,,,,,,,,,
Red Currant,Noun,Immovable - Frisians,,,,,,,,,Riber vermell / riba vermella,,,,,,Rote Johannisbeere,,Κόκκινοστάφυλο,,,,,,,,,,,,,,,,,,,Punaviinimarjapensas,,,,,,,preas dhearcan-dearga,,,,,,,,,,,,,,,,,,,,レッドカラント,,,,,,,,,,,,,,,,,,,,,,Albeei,Pl.: Albejen,,,,,,,,,,,,,,,Красная смородина,,,,,,,,,,,,,,,,,,,,,,,
Red Mushroom Tree,Noun,,,,,,Червено гъбено дърво,,,,Arbre xampinyó roig,,,,,,Roter Pilzbaum,,Κόκκινο Μανιταρόδεντρο,,,,,,,,,,,,,,,,,,,,Arbre champignon rouge,,,,,,,,,,,,,,,,Vörös gombafa,,,,,,,,,,アカカサ,(架空)キノコっぽい木,,,,,,,,,,,,,,,,,,,,,Roder Paddstohlboom,,,,,,,,,,,,,,,,Красный баобаб,,,,,,,,,,,,Rött svampträd,,,,,,,,,,,
Red Umbrella Tree,Noun,,,,,,Червено чадърено дърво,,,,Arbre para-sol roig,,,,,,Roter Schirmbaum,,Κόκκινο Ομπρελόδεντρο,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vörös esernyőfa,,,,,,,,,,アカヤネ,架空植物,,,,,,,,,,,,,,,,,,,,,Roder Schirmboom,,,,,,,,,,,,,,,,Красная акация,,,,,,,,,,,,Rött paraplyträd,,,,,,,,,,,
Reebaud,Noun,Chieftain of Frisians,,,,,,,,,Reebaud (masc.),,,,,,Reebaud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,リーボード,,,,,,,,,,,,,,,,,,,,,,Reebaud,,,,,,,,,,,,,,,,Ребауд,Вождь фризан,,,,,,,,,,,,,,,,,,,,,,
Reed,Noun,"Immovable - Barbarians, Frisians",,,,,,,,,Junc,,rákos,,,,Reet,,Καλάμια,,,,,,,,,,Caña,,,,,,,,,Ruoikko,roseau,,,,,,cuilceach,cuilceach | chuilceach | cuilcich | chuilcich,,,,,,,,,Nád,,,,,,,,,,カヤ,,,,,,,,,,,,,,,,,,,,,,Reit,,Dakriet,,,,,,,,junco,,,,,,Тростник,,,,,,,,,,,,Vass,,,,Очерет,,,,,,,
Reed Farm,Noun,Production Building - Frisians,,,,,,,,,Masoveria de juncs,,,,,,Reetpflanzung,,Καλαμώνας,,,,,,,,,,,,,,,,,,,Ruokofarmi,roselière,,,,,,tuathanas-cuilce,,,,,,,,,,,,,,,,,,,,カヤ農場,,,,,,,,,,,,,,,,,,,,,,Reitbuurderee,,,,,,,,,,Caniçaria,,,,,,Тростниковая ферма,,,,,,,,,,,,,,,,,,,,,,,
Reed Farmer,Noun,Worker - Frisians,,,,,,,,,Cultivador de juncs,,,,,,Reetbauer,,Γεωργός Καλαμώνα,,,,,,,,,,,,,,,,,,,Ruokofarmari,cultivateur de roseaux,,,,,,tuathanach-cuilce,,,,,,,,,,,,,,,,,,,,カヤ農夫,,,,,,,,,,,,,,,,,,,,,,Reitbuur,,,,,,,,,,Caniçeiro,,,,,,Заготовщик тростника,,,,,,,,,,,,,,,,,,,,,,,
Reed Yard,Noun,Production Building - Barbarians. Formerly Fernery,,,,,Поле за тръстика,,,,Camp de juncs,,rákosové pole,,Stråfabrik,,Reethof,,Καλαμόκηπος,,,,,,,,,,Plantación de Caña,,,,,,,,,Ruokotarha,roselière,,,,,,feur-lios,fheur-lios | feur-liosa | fheur-liosa | feur-liosan | fheur-liosan,,,,,,,,,Nádudvar,,,,,,,,,,カヤ園,,,,,,,,,,,,,,,,,,,,,,Reitplanteree,,Rietkwekerij,,,,,,Paprociarnia,,quinta do colmo,,,,,,Плантация,,,,,,trstinová záhrada,,,,,,Vassfält,,,,Очеретище,,,,,,,
Reindeer,Noun,Worker - Carrier - Frisians,,,,,,,,,Ren,,,,,,Rentier,,Τάρανδος,,,,,,,,,,,,,,,,,,,Poro,,,,,,,rèin-fhiadh,,,,,,,,,,,,,,,,,,,,トナカイ,,,,,,,,,,,,,,,,,,,,,,Sneeihirsk,"If anyone knows a better translation than ""Snow-Stag"", please replace",,,,,,,,,Rena,,,,,,Северный олень,,,,,,,,,,,,,,,,,,,,,,,
Reindeer Breeder,Noun,Worker - Frisians,,,,,,,,,Criador de rens,,,,,,Rentierzüchter,,Ταρανδοτρόφος,,,,,,,,,,,,,,,,,,,Poronhoitaja,éleveur de rennes,,,,,,gille rèin-fhèidh,,,,,,,,,,,,,,,,,,,,トナカイブリーダー,,,,,,,,,,,,,,,,,,,,,,Sneeihirsktüchter,,,,,,,,,,criador de renas,,,,,,Оленевод,,,,,,,,,,,,,,,,,,,,,,,
Reindeer Farm,Noun,Production Building - Frisians,,,,,,,,,Granja de rens,,,,,,Rentierzucht,,Ταρανδοτροφείο,,,,,,,,,,,,,,,,,,,Poronhoitoalue,élevage de rennes,,,,,,tuathanas rèin-fhèidh,,,,,,,,,,,,,,,,,,,,トナカイ牧場,,,,,,,,,,,,,,,,,,,,,,Sneeihirsktüchteree,,,,,,,,,,Criação de Renas,,,,,,Олений выгон,,,,,,,,,,,,,,,,,,,,,,,
Rock Mine,Noun,Production Building - Frisians,,,,,,,,,Mina de roques,,,,,,Felsmine,,Ορυχείο Βράχων,,,,,,,,,,,,,,,,,,,,,,,,,,mèinn cloiche,,,,,,,,,,,,,,,,,,,,岩石鉱,,,,,,,,,,,,,,,,,,,,,,Stenen-Bargwark,,,,,,,,,,,,,,,,Каменоломня,,,,,,,,,,,,,,,,,,,,,,,
Rocks,Noun,Object on map,,,,,,,,,Roques,,,,,,Felsen,,Βράχια,,,,,,,,,,,,,,,,,,,,roches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stenen,,,,,,,,,,,,,,,,Скалы,,,,,,,,,,,,Klippor,,,,,,,,,,,
Roystonea regia Palm,Noun,,,,,,,,,,Palmera Roystonea regia,,,,,,,,Φοίνικας,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Királypálma,,,,,,,,Palma Roystonea reale,,ダイオウヤシ,,,,,,,,,,,,,,,,,,,,,,Königspalme,,,,,,,,,,,,,,,,Королевская пальма,,,,,,palma kráľovská,,,,,,Roystonea regia palm,,,,,,,,,,,
Saledus,Noun,Character - Empire,,,,,Саледий,,,,Saledus,,,,Saledus,,Saledus,,Σάλεδος,,,,,,,,,,Saledus,,,,,,,,,,Saledus,,,,,,Saledus,,,,,,,,,,Saledus,,,,,,,,,,セールダス,,,,,,,,,,,,,,,,,,,,,,Saledus,,,,,,,,Saledus,,Saledus,,,,,,Саледус,Персонаж - Империя,,,,,Saledus,G: Saleda,,,,,Saledus,,,,,,,,,,,
Sapling,Noun,Game entity - maturity level of trees,,,,,Фиданка,,,,Plançó,,sazenice,,,,Setzling,,Δενδρύλλιο,,,,,,,,,,Brote,Entidad del juego - nivel de madurez de los árboles,,,,,,,,,Jeune arbre,,,,,,,,,,,,,,,,Csemete,,,,,,,,Alberello,,,,,,,,,,,,,,,,,,,,,,,,Kiensel,,,,,,,,,,novo,,,,,,Молодняк,,,,,,,,,,,,Planta,,,,,,,,,,,
Satul,Noun,God - Atlantean,,,,,Сатул,,,,Satul,,,,Satul,,Satul,,Σατούλ,,,,,,,,,,Satul,,,,,,,,,,Satul,,,,,,Satul,Shatuil |,,,,,,,,,Satul,,,,,,,,,,サテュール,,,,,,,,,,,,,,,,,,,,,,Satuul,,,,,,,,Satul,,Satul,,,,,,Сатул,Бог - Атланты,,,,,Satul,,,,,,Satul,,,,,,,,,,,
Saw,Noun,"Ware - Tool - Atlanteans, Empire",,,,,Трион,,,,Serra,,pila,,Sav,,Säge,,Πριόνι,,,,,,,,,,Sierra,,,,,,,,,,Scie,,,,,,sàbh,shàbh | sàibh | shàibh | sàbhan | shàbhan | chunnaic,,,,,,,,,Fűrész,,,,,,,,Sega,,ノコギリ,,,,,,,,,,serra,,,,,,,,,,Sag,,Saag,,Zaag,,,,,,Piła,,serra,,Serra,,,,Пила,,,,,,píla,,,,,,Såg,,,,,,,,,,,
Sawmill,Noun,"Production Building - Atlanteans, Empire",,,,,Дъскорезница,,,,Serradora,,pila,,Savværk,,"Sägemühle (A), Sägewerk (E)",,Πριονιστήριο,,,,,,,,,,Aserradero,,,,,,,,,,Scierie,,,,,,muileann sàbhaidh,mhuileann sàbhaidh | muilinn sàbhaidh | mhuilinn sàbhaidh | muileannan sàbhaidh | mhuileannan sàbhaidh,,,,,,,,,Fűrészmalom,,,,,,,,Segheria,,製材所,,,,,,제재소,,,,serrarum domus,,,,,,,,,,Sagbruk,,Saagmöhlen,,Houtzagerij,,,,,,Tartak,,serração,,Serraria,,,,Лесопилка,,,,,,píla,,,,,,Sågverk,,,,,,,,,,,
Sawyer,Noun,Worker - Atlanteans,,,,,Резач на дърва,,,,Serrador,,dělník na pile,,Savskærer,,Säger,,Πριονιστής,,,,,,,,,,Aserrador,,,,,,,,,,Scieur,,,,,,saor,fir. gin. ┐ iol. saoir,,,,,,,,,Fűrészelő,,,,,,,,Segatore,,製材職人,,,,,,,,,,,,,,,,,,,,Sager,,Saager,,Zager,,,,,,Tracz,,serrador,,Serrador,,,,Распиловщик,,,,,,piliar,,,,,,Sågverksarbetare,,,,,,,,,,,
Scout,Noun,"Worker - Atlanteans, Barbarians, Empire, Frisians",,,,,Разузнавач,,,,Explorador,,Průzkumník,,Spejder,,Kundschafter,,Ανιχνευτής,,,,,,,,,,Explorador,,,,,,,,,,Éclaireur,,,,,,rabhadair,rabhadairean|,,,,,,,,,Felderítő,,,,,,,,Esploratore,,斥候,,,,,,,,,,explorator,,,,,,,,,,Speider,,Bespejer,,Verkenner,,,,,,Zwiadowca,,Batedor,,Explorador,,,,Разведчик,,,,,,prieskumník,,,,,,Spejare / Spanare,"Barbareans, Empire: Spanare
Atlanteans: Spejare",,,,,,,,,,
Scout’s House,Noun,"Building - Atlanteans, Empire, Frisians",,,,,Разузнаваческа къща,,,,Casa de l'Explorador,,Domek průzkumníka,,Spejderhus,,Kundschafterhaus,,Σπίτι Ανιχνευτή,,,,,,,,,,Casa de Explorador,,,,,,,,,,Maison d'éclaireurs,,,,,,taigh-rabhadair,taigh fir. gin. -e; iol. -ean,,,,,,,,,Felderítőház,,,,,,,,Casa dell'esploratore,,偵察小屋,,,,,,,,,,casa exploratoris,,,,,,,,,,Speiders hus,,Bespejeree,,Verkennershuis,,,,,,Dom zwiadowcy,,casa do batedor,,Casa do Explorador,,,,Домик Разведчика,,,,,,prieskumnícky dom,,,,,,Spanarstuga / Spejarbostad,"Atlanteans: Spanarstuga
Empire: Spejarbostad",,,,,,,,,,
Scout’s Hut,Noun,Building - Barbarians,,,,,Разузнаваческа колиба,,,,Cabana de l'Explorador,,Chata průzkumníka,,Spejderhytte,,Kundschafterhütte,,Καλύβα Ανιχνευτή,,,,,,,,,,Cabaña de Explorador,,,,,,,,,,Hutte d'éclaireur,,,,,,bothan-rabhadair,bothan fir. gin. ┐ iol. -ain,,,,,,,,,Felderítő kunyhója,,,,,,,,Capanna dell'esploratore,,斥候の庵,,,,,,,,,,casa exploratoris,,,,,,,,,,Speiderhytte,,Bespejer-Huus,,Verkennershut,,,,,,Chata zwiadowcy,,cabana do batedor,,Cabana do Explorador,,,,Хижина Разведчика,,,,,,prieskumnícka chatrč,,,,,,Spejarkoja,Barbarians,,,,,,,,,,
Scrap Iron,Noun,Ware - Recycling - Frisians,,,,,,,,,,,,,,,Alteisen,,Παλιοσίδερα,,,,,,,,,,,,,,,,,,,Romurauta,,,,,,,fuigheall iarainn,,,,,,,,,,,,,,,,,,,,鉄クズ,,,,,,,,,,,,,,,,,,,,,,Iesen-Överblievsels,,,,,,,,,,,,,,,,Металлолом,,,,,,,,,,,,,,,,,,,,,,,
Scythe,Noun,"Ware - Tool - Atlanteans, Barbarians, Empire, Frisians",,,,,Коса,,,,Dalla,,kosa,,Le,,Sense,,Δρεπάνι,,,,,,,,,,Guadaña,,,,,,,,,,Faux,,,,,,fàl,fhàl | fàil | fhàil,,,,,,,,,Kasza,,,,,,,,Falce,,大鎌,,,,,,,,,,falx,,,,,,,,,,Ljå,,Sichte,,Zeis,,,,,,Kosa,,foice,,Foice,,,,Коса,,,,,,kosa,,,,,,Lie,,,,Коса,,,,,,,
Sea Buckthorn,Noun,Immovable - Frisians,,,,,,,,,Espí groc,,,,,,Seekreuzdorn,,Θαλάσσιος Ράμνος,,,,,,,,,,,,,,,,,,,Tyrni,,,,,,,preas ràmh-dhroighinn,,,,,,,,,,,,,,,,,,,,シーバックソーン,,,,,,,,,,,,,,,,,,,,,,Sanddoorn,Anyone who knows the translation please replace this,,,,,,,,,,,,,,,Облепиха,,,,,,,,,,,,,,,,,,,,,,,
Seamstress,Noun,Worker - Frisians,,,,,,,,,Costurera,,,,,,Näherin,,Μοδίστρα,,,,,,,,,,,,,,,,,,,,couturière,,,,,,banalaiche,,,,,,,,,,,,,,,,,,,,針子,,,,,,,,,,,,,,,,,,,,,,Naihsterke,,,,,,,,,,Costureira,,,,,,Портной,,,,,,,,,,,,,,,,,,,,,,,
Sentinel,Noun,Military Building - Frisians,,,,,,,,,Sentinella,femení,,,,,Vorposten,,Φρουραρχείο,,,,,,,,,,,,,,,,,,,,,,,,,,taigh-caithris,taighe-caithris | thaigh-caithris | taighean-caithris | thaighean-caithris,,,,,,,,,,,,,,,,,,,監視所,,,,,,,,,,,,,,,,,,,,,,Wachters-Postje,,,,,,,,,,,,,,,,Наблюдательный пост,,,,,,,,,,,,,,,,,,,,,,,
Sentries,Noun,Plural of Sentry,,,,,Караулни,,,,Guardes Sentinella,,strážnice,,Vagttårne,,Wachposten,,Φυλάκια,,,,,,,,,,Centinelas,,,,,,,,,,factionnaires,,,,,,,,,,,,,,,,Őrbódék,,,,,,,,,,詰所,,,,,,,,,,,,,,,,,,,,,,Wachters-Kamers,,,,,,,,,,sentinelas,,,,,,Караульные,,,,,,strážnice,,,,,,Vaktposter,,,,,,,,,,,
Sentry,Noun,"Military Building - Barbarians, Empire",,,,,Караулна,,,,Guarda Sentinella,"i sentinella per al soldat
centinel frisians-> centinella",strážnice,,Vagttårn,,Wachposten,,Φυλάκιο,,,,,,,,,,Centinela,,,,,,,,,,Guérite,,,,,,freiceadan,fhreiceadan | freiceadain | fhreiceadain | freiceadanan | fhreiceadanan,,,,,,,,,Őrbódé,,,,,,,,Guardiola,,詰所,(元: 歩哨所),,,,,,,,,,,,,,,,,,,Vaktpost,,Wachters-Kamer,,Wachtpost,,,,,,Strażnica,,sentinela,,Sentinela,,,,Караульная,,,,,,strážnica,,,,,,Vaktpost,,,,Сторожа,,,,,,,
Settlement,Noun,Scenario term,,,,,Селище,,,,Assentament,,osada,,,,Siedlung,,Οικισμός,,,,,,,,,,Asentamiento,,,,,,,,,,Campement,,,,,,tuineachadh,thuineachadh | tuineachaidh | thuineachaidh | tuineachaidhean | thuineachaidhean | tuinich,,,,,,,,,Település,,,,,,,,Insediamento,,,,,,,,,,,,,,,,,,,,,,,,Dörp,,Nederzetting,,,,,,Osada,,povoação,,assentamento,,,,Поселение,,,,,,osada,,,,,,Bosättning,,,,,,,,,,,
Sewing Room,Noun,Production Building - Frisians,,,,,,,,,Taller de costura,,,,,,Nähstübchen,,Ραφείο,,,,,,,,,,,,,,,,,,,Ompeluhuone,atelier de couture,,,,,,bùth banalachd,,,,,,,,,,,,,,,,,,,,縫製工房,,,,,,,,,,,,,,,,,,,,,,Naiheree,,,,,,,,,,,,,,,,Швейный цех,,,,,,,,,,,,,,,,,,,,,,,
Sharp Ax,Noun,Ware - Weapon - Barbarians,,,,,Остра брадва,,,,Destral Afilada,,ostrá sekera,,Skarp økse,,Scharfe Axt,,Αιχμηρός Πέλεκυς,,,,,,,,,,Hacha Afilada,,,,,,,,,,Hache tranchante,,,,,,tuagh gheur,thuagh gheur | tuaighe geur | tuaghan geura | thuaghan geura,,,,,,,,,Éles fejsze,,,,,,,,Ascia affilata,,大斧,(元: シャープアックス),,,,,,,,,,,,,,,,,,,Skarp øks,,Scharpe Ext,,Scherpe Bijl,,,,,,Ostry topór,,machado afiado,,Machado afiado,,,,Острый Топор,,,,,,ostrá sekera,,,,,,Skarpyxa,,,,Гостра сокира,,,,,,,
Sheep Farm,Noun,Production Building - Empire,,,,,Ферма за овце,,,,Granja d'ovelles,,ovčinec,,Fåreavl,,Schäferei,,Στάνη Προβάτων,,,,,,,,,,Granja de Ovejas,,,,,,,,,Lammastila,Bergerie,,,,,,faing,fhaing | fainge | faingean | fhaingean,,,,,,,,,Juhtelep,,,,,,,,Allevamento di pecore,,羊牧場,,,,,,,,,,ovile,,,,,,,,,,Sauefarm,,Schaaptüchteree,,Schapenboerderij,,,,,,Owczarnia,,ovinocultura,,Fazenda de Ovelhas,,,,Овцеферма,,,,,,ovčia farma,,,,,,Fåruppfödning,,,,,,,,,,,
